symbol,name,theme,entry_date,entry_price,entry_mcap,target_multiple,thesis,catalysts,kill_criteria,status,note_file
IREN,IREN Limited,ai-infra,2026-09-24,47.05,18540000000.0,10,Miner-to-GPU-cloud; $4B contracted ARR by Dec 2026,31 Dec 2026 ARR checkpoint; FY27Q1 Nov 2026,ARR<$3B at YE; contract repricing; dilution>30%/12m; neocloud credit event,watch,notes/deep-dives/IREN.md
9880.HK,UBTech Robotics,humanoids,2026-09-24,78.2,5047000000.0,10,Humanoid revenue +1445% H1 2026 while stock -40% YTD,H2 2026 deliveries; FY26 results Mar 2027,humanoid growth<50% YoY; negative GM two halves; placing>15% discount; unit definition includes toys,verify-then-watch,notes/deep-dives/UBTECH.md
LEU,Centrus Energy,nuclear-fuel,2026-09-24,151.31,2986000000.0,10,Only Western HALEU producer; FY26 guide $450-500M; $900M DOE award,Q3 Nov 2026; NRC rules Nov 2026; DOE task orders 2027,DOE award cut; capex overrun>50%; backlog stalls 2 quarters,watch (2-3x more likely than 10x),notes/deep-dives/LEU.md
PENDLE-USD,Pendle,defi-yield,2026-09-24,2.55,442800000.0,10,Yield tokenisation leader; $4.15B 10x cap has DeFi precedent,GENIUS effective 18 Jan 2027; cycle bottom window Oct26-Jan27,TVL<$600M or rev<$10M 2 months; yield ban; BTC<$58k,watch,notes/deep-dives/PENDLE.md
APLD,Applied Digital,ai-infra,2026-09-24,27.23,7937000000.0,10,$7B CoreWeave lease book,New tenant announcements; Polaris Forge 2 financing,CoreWeave missed payment/amendment; no second tenant by mid-2027,watch,notes/themes/ai-semis.md
ENA-USD,Ethena,stablecoins,2026-09-24,0.2197,2218000000.0,10,USDe/GENIUS beneficiary if supply scales,GENIUS 18 Jan 2027; fee switch,USDe<$8B; negative funding>60d; yield ban,verify-then-watch,notes/themes/crypto.md
QUBT,Quantum Computing Inc,quantum,2026-09-24,9.12,2064000000.0,10,Cash $1.3B vs $1.91B cap; photonics foundry optionality,Q3 Nov 2026; fab utilisation,cash<$1.0B without revenue step; going-concern; discounted ATM,watch (low probability),notes/themes/quantum-robotics-space.md
CIFR,Cipher Mining,ai-infra,2026-09-24,18.35,7616000000.0,10,$3.8B Fluidstack/Google-backed HPC contract vs small cap,Contract milestones,Missing caps: verify first,watch (cap now from data; thesis unverified),notes/themes/ai-semis.md
WULF,TeraWulf,ai-infra,2026-09-24,16.35,8158000000.0,10,$12.8B HPC contracts; AI to ~70% of revenue by YE2026,YE2026 revenue mix,Missing caps: verify first,watch (cap now from data; thesis unverified),notes/themes/ai-semis.md
HUT,Hut 8,ai-infra,2026-09-24,102.46,12630000000.0,10,245 MW Fluidstack lease ($7B) expandable to $17.7B; Anthropic anchor; Google backstop,Lease expansion; River Bend delivery,Missing caps: verify first,watch (cap now from data; thesis unverified),notes/themes/ai-semis.md
ABOS,Acumen Pharmaceuticals,biotech,2026-09-24,2.305,166700000.0,10,Oligomer-selective AD antibody; Phase 2 ALTITUDE-AD readout ~late 2026/early 2027,ALTITUDE-AD topline,iADRS miss without PD signal; ARIA-E>=12%; cash<12m,verify (all figures from memory),notes/themes/biotech.md
RNAC,Cartesian Therapeutics,biotech,2026-09-24,7.87,238100000.0,10,mRNA CAR-T in gMG; Phase 3 AURORA 2026,AURORA topline (result unknown),AURORA miss; cap>$1.5B when checked,verify (all figures from memory),notes/themes/biotech.md
KYTX,Kyverna Therapeutics,biotech,2026-09-24,7.07,437200000.0,10,CD19 CAR-T in SPS; KYSA-8 registrational -> PDUFA ~2027,KYSA-8 result (unknown); BLA H2 2026,KYSA-8 miss; single-arm refused; dilution<$5,verify (all figures from memory),notes/themes/biotech.md
LRMR,Larimar Therapeutics,biotech,2026-09-24,3.865,401500000.0,10,Frataxin replacement in FA; accelerated BLA -> PDUFA ~H1 2027,BLA acceptance; PDUFA,FDA rejects surrogate; safety signal,verify (all figures from memory),notes/themes/biotech.md
GFUZ,General Fusion,fusion,2026-09-24,8.68,551600000.0,10,~$1B SPAC; TAE peer implies ~$3B for zero-revenue fusion,LM26 results; first quarterly reports,LM26 misses plasma targets; runway<12m,watch (cap now from data; thesis unverified),notes/themes/nuclear-energy-power.md
